cohort_role,position_id,symbol,signal_completed_at,decision_at,entry_request_at,entry_request_time_status,entry_fill_at,db_entry_at,entry_db_lag_ms,first_native_stop_submitted_at,first_native_stop_ack_at,fill_to_first_stop_ack_ms,last_observation_detected_at,last_quote_received_at,last_exchange_book_at,exit_trigger_or_close_at,exit_fill_at,settlement_at,settlement_time_status,final_native_actual_order_id,final_native_client_id,final_native_status
FIXED_210,88556a19-5878-4372-9df2-0e6e7a22e433,INJUSDT,2026-09-08T02:25:00.000Z,2026-09-08T02:26:03.381Z,,NOT_EXPORTED,2026-09-08T02:26:04.612Z,2026-09-08T02:26:05.078Z,466,,,,,,,2026-09-08T02:58:04.265Z,2026-09-08T02:58:04.265Z,,NOT_EXPORTED,,,
FIXED_210,83f4df49-26c5-4e94-8700-f36303f6c0ef,SOPHUSDT,2026-09-08T03:00:00.000Z,2026-09-08T03:01:02.742Z,,NOT_EXPORTED,2026-09-08T03:01:03.515Z,2026-09-08T03:01:03.994Z,479,,,,,,,2026-09-08T03:43:04.419Z,2026-09-08T03:43:04.419Z,,NOT_EXPORTED,,,
FIXED_210,2f084a77-a0ca-4c1c-b467-e4be50862ec6,IOSTUSDT,2026-09-08T03:45:00.000Z,2026-09-08T03:46:03.291Z,,NOT_EXPORTED,2026-09-08T03:46:04.935Z,2026-09-08T03:46:05.400Z,465,,,,,,,2026-09-08T03:56:04.172Z,2026-09-08T03:56:04.172Z,,NOT_EXPORTED,,,
FIXED_210,8af6af51-bb20-4b8b-ac6b-eaeb50d53a98,AEROUSDT,2026-09-08T04:00:00.000Z,2026-09-08T04:01:03.239Z,,NOT_EXPORTED,2026-09-08T04:01:04.453Z,2026-09-08T04:01:04.917Z,464,,,,,,,2026-09-08T05:01:03.930Z,2026-09-08T05:01:03.930Z,,NOT_EXPORTED,,,
FIXED_210,49e3d344-76a2-4994-a344-01aa1b003406,SOPHUSDT,2026-09-08T05:05:00.000Z,2026-09-08T05:05:03.959Z,,NOT_EXPORTED,2026-09-08T05:05:04.722Z,2026-09-08T05:05:05.195Z,473,,,,,,,2026-09-08T05:20:05.033Z,2026-09-08T05:20:05.033Z,,NOT_EXPORTED,,,
FIXED_210,61cae170-54e9-4453-8e95-cd55127bbd8e,USELESSUSDT,2026-09-08T06:15:00.000Z,2026-09-08T06:16:02.730Z,,NOT_EXPORTED,2026-09-08T06:16:04.425Z,2026-09-08T06:16:04.885Z,460,,,,,,,2026-09-08T06:32:04.025Z,2026-09-08T06:32:04.025Z,,NOT_EXPORTED,,,
FIXED_210,a5ab1fa0-1a90-4c8d-b73c-745ae5630c57,AKEUSDT,2026-09-08T07:10:00.000Z,2026-09-08T07:11:03.125Z,,NOT_EXPORTED,2026-09-08T07:11:04.368Z,2026-09-08T07:11:04.836Z,468,,,,,,,2026-09-08T07:35:03.939Z,2026-09-08T07:35:03.939Z,,NOT_EXPORTED,,,
FIXED_210,b9501639-d5b1-4d4d-8478-d432f8f862ca,FORMUSDT,2026-09-08T07:45:00.000Z,2026-09-08T07:45:05.558Z,,NOT_EXPORTED,2026-09-08T07:45:06.132Z,2026-09-08T07:45:06.600Z,468,,,,,,,2026-09-08T07:52:13.879Z,2026-09-08T07:52:13.879Z,,NOT_EXPORTED,,,
FIXED_210,9745f184-84e6-4d17-9636-ceb7ee116d3e,BTRUSDT,2026-09-08T09:05:00.000Z,2026-09-08T09:05:05.998Z,,NOT_EXPORTED,2026-09-08T09:05:07.664Z,2026-09-08T09:05:08.120Z,456,,,,,,,2026-09-08T09:31:04.934Z,2026-09-08T09:31:04.934Z,,NOT_EXPORTED,,,
FIXED_210,b6272135-f9d6-4a91-9ca7-225465429a55,USELESSUSDT,2026-09-08T10:00:00.000Z,2026-09-08T10:00:07.268Z,,NOT_EXPORTED,2026-09-08T10:00:07.840Z,2026-09-08T10:00:08.743Z,903,,,,,,,2026-09-08T10:27:04.170Z,2026-09-08T10:27:04.170Z,,NOT_EXPORTED,,,
