cohort_role,position_id,symbol,side,ownership,decision_at,exchange_entry_fill_at,db_entry_at,entry_time_source,exit_fill_or_close_at,entry_price,exit_price,quantity,gross_price_pnl_usdt,settled_net_pnl_usdt,price_to_settlement_difference_usdt,known_entry_fee_usdt,known_exit_fee_usdt,known_fee_sum_usdt,residual_after_known_fees_usdt,funding_cashflow_usdt,funding_coverage,exit_reason,executor_patch,entry_policy_version,exit_policy_version,qv3_policy_version,entry_order_client_id,entry_exchange_order_id
FIXED_210,88556a19-5878-4372-9df2-0e6e7a22e433,INJUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 02:26:03.381689+00,2026-09-08T02:26:04.612Z,2026-09-08T02:26:05.078Z,RAW_FILL_RECONSTRUCTED,2026-09-08T02:58:04.265Z,6.648,6.475,18.1,-3.1313,-3.25006315,0.11876315,0.0601644,,,,,UNKNOWN_NOT_ZERO,V17_HARD_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-413cfdc237b04e388eb623a6,
FIXED_210,83f4df49-26c5-4e94-8700-f36303f6c0ef,SOPHUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 03:01:02.742065+00,2026-09-08T03:01:03.515Z,2026-09-08T03:01:03.994Z,RAW_FILL_RECONSTRUCTED,2026-09-08T03:43:04.419Z,0.007400631543167913,0.0076890000000000005,16181,4.66609,4.54400735,0.12208265,0.0598748,,,,,UNKNOWN_NOT_ZERO,V17_TRAILING_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-f9557902e5924509bd7181e9,
FIXED_210,2f084a77-a0ca-4c1c-b467-e4be50862ec6,IOSTUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 03:46:03.291004+00,2026-09-08T03:46:04.935Z,2026-09-08T03:46:05.400Z,RAW_FILL_RECONSTRUCTED,2026-09-08T03:56:04.172Z,0.0011393413221021443,0.0010991240318322538,105302,-4.2349611,-4.35281852,0.11785742,0.059987450000000005,,,,,UNKNOWN_NOT_ZERO,V17_HARD_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-58eb299474ad4f2db0985240,
FIXED_210,8af6af51-bb20-4b8b-ac6b-eaeb50d53a98,AEROUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 04:01:03.239356+00,2026-09-08T04:01:04.453Z,2026-09-08T04:01:04.917Z,RAW_FILL_RECONSTRUCTED,2026-09-08T05:01:03.930Z,0.6668000000000001,0.6461,179.7,-3.71979,-3.83775406,0.11796406,0.05991198,,,,,UNKNOWN_NOT_ZERO,V17_HARD_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-a9d453c547864263bbb55339,
FIXED_210,49e3d344-76a2-4994-a344-01aa1b003406,SOPHUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 05:05:03.959817+00,2026-09-08T05:05:04.722Z,2026-09-08T05:05:05.195Z,RAW_FILL_RECONSTRUCTED,2026-09-08T05:20:05.033Z,0.010060999999999999,0.010683,11898,7.400556,7.27714996,0.12340604,0.05985288,,,,,UNKNOWN_NOT_ZERO,V17_TRAILING_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-5784dbc37ca34d1687432a3f,
FIXED_210,61cae170-54e9-4453-8e95-cd55127bbd8e,USELESSUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 06:16:02.730131+00,2026-09-08T06:16:04.425Z,2026-09-08T06:16:04.885Z,RAW_FILL_RECONSTRUCTED,2026-09-08T06:32:04.025Z,0.2503072860125261,0.2432377661795407,479,-3.3863,-3.50450402,0.11820402,0.059948589999999996,,,,,UNKNOWN_NOT_ZERO,V17_HARD_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-da15b079fae148a88039211d,
FIXED_210,a5ab1fa0-1a90-4c8d-b73c-745ae5630c57,AKEUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 07:11:03.125906+00,2026-09-08T07:11:04.368Z,2026-09-08T07:11:04.836Z,RAW_FILL_RECONSTRUCTED,2026-09-08T07:35:03.939Z,0.01895052440372769,0.018281,6331,-4.238759,-4.35661537,0.11785637,0.05998787,,,,,UNKNOWN_NOT_ZERO,V17_HARD_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-b0ef31e9ae5e48ba8bc3cb74,
FIXED_210,b9501639-d5b1-4d4d-8478-d432f8f862ca,FORMUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 07:45:05.558997+00,2026-09-08T07:45:06.132Z,2026-09-08T07:45:06.600Z,RAW_FILL_RECONSTRUCTED,2026-09-08T07:52:13.879Z,0.38866016181229773,0.3702,309,-5.70419,-5.82143389,0.11724389,0.06004799,,,,,UNKNOWN_NOT_ZERO,V17_HARD_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-cde16d169f1a484ab5f18189,
FIXED_210,9745f184-84e6-4d17-9636-ceb7ee116d3e,BTRUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 09:05:05.998755+00,2026-09-08T09:05:07.664Z,2026-09-08T09:05:08.120Z,RAW_FILL_RECONSTRUCTED,2026-09-08T09:31:04.934Z,0.051897839239412276,0.05280624891961971,2314,2.10206,1.98091738,0.12114262,0.060045799999999996,,,,,UNKNOWN_NOT_ZERO,V17_TRAILING_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-6858dbc828244385b638d2ba,
FIXED_210,b6272135-f9d6-4a91-9ca7-225465429a55,USELESSUSDT,LONG,AUTO_LEADER_MOMENTUM_V17_COHORT,2026-09-08 10:00:07.268593+00,2026-09-08T10:00:07.840Z,2026-09-08T10:00:08.743Z,RAW_FILL_RECONSTRUCTED,2026-09-08T10:27:04.170Z,0.2662,0.2680160975609756,451,0.81906,0.69859427,0.12046573,0.0600281,,,,,UNKNOWN_NOT_ZERO,V17_TRAILING_STOP,V17-LEADER-PRODUCTION-INTEGRATION-1,,,,tb-v11e-4830570a56da4bcb9c6e7cd4,
