exchange,split,cost_model,arm_bps,effective_arm_bps,n,mean,median,win_rate,p05,p95,loss_mean,baseline_mean,delta_mean,arm_rate,stop_rate
binance,train,empirical_exec,10,33.1663,43,-0.2280798406856374,0.0,0.046511627906976744,-1.1332036168739492,0.0,-0.792827275855326,-0.3074645219702947,0.0793846812846573,0.6511627906976745,0.6046511627906976
binance,train,empirical_exec,15,33.1663,43,-0.2280798406856374,0.0,0.046511627906976744,-1.1332036168739492,0.0,-0.792827275855326,-0.3074645219702947,0.0793846812846573,0.6511627906976745,0.6046511627906976
binance,train,empirical_exec,20,33.1663,43,-0.2280798406856374,0.0,0.046511627906976744,-1.1332036168739492,0.0,-0.792827275855326,-0.3074645219702947,0.0793846812846573,0.6511627906976745,0.6046511627906976
binance,train,empirical_exec,25,33.1663,43,-0.2280798406856374,0.0,0.046511627906976744,-1.1332036168739492,0.0,-0.792827275855326,-0.3074645219702947,0.0793846812846573,0.6511627906976745,0.6046511627906976
binance,train,empirical_exec,30,33.1663,43,-0.2280798406856374,0.0,0.046511627906976744,-1.1332036168739492,0.0,-0.792827275855326,-0.3074645219702947,0.0793846812846573,0.6511627906976745,0.6046511627906976
binance,train,empirical_exec,40,40.0,43,-0.29352140905679525,0.0,0.046511627906976744,-1.267639931005258,0.0,-0.7353198288894837,-0.3074645219702947,0.013943112913499447,0.5348837209302325,0.4883720930232558
binance,train,empirical_exec,50,50.0,43,-0.32453194593695894,-0.030357342149307687,0.09302325581395349,-1.274446019120843,0.06181994614872207,-0.7381685490014239,-0.3074645219702947,-0.017067423966664302,0.4418604651162791,0.3953488372093023
binance,train,empirical_exec,60,60.0,43,-0.3639702845709856,-0.21565371925753157,0.09302325581395349,-1.274446019120843,0.06181994614872207,-0.717422265571779,-0.3074645219702947,-0.05650576260069094,0.37209302325581395,0.32558139534883723
binance,train,empirical_exec,75,75.0,43,-0.3708913893437993,-0.26466132495812217,0.13953488372093023,-1.274446019120843,0.2732789741609995,-0.6592781207416879,-0.3074645219702947,-0.0634268673735046,0.3023255813953488,0.18604651162790697
binance,train,empirical_exec,100,100.0,43,-0.36693548971634926,-0.2754832247190821,0.18604651162790697,-1.274446019120843,0.27800762249506206,-0.6466278121848774,-0.3074645219702947,-0.059470967746054565,0.23255813953488372,0.11627906976744186
binance,train,fee_only,10,20.0,43,-0.02124774108782614,0.0,0.18604651162790697,-0.9882062072006068,0.6995765275257068,-0.749176291163881,-0.1758015219702947,0.15455378088246857,0.7906976744186046,0.5813953488372093
binance,train,fee_only,15,20.0,43,-0.02124774108782614,0.0,0.18604651162790697,-0.9882062072006068,0.6995765275257068,-0.749176291163881,-0.1758015219702947,0.15455378088246857,0.7906976744186046,0.5813953488372093
binance,train,fee_only,20,20.0,43,-0.02124774108782614,0.0,0.18604651162790697,-0.9882062072006068,0.6995765275257068,-0.749176291163881,-0.1758015219702947,0.15455378088246857,0.7906976744186046,0.5813953488372093
binance,train,fee_only,25,25.0,43,-0.0442392217116662,0.0,0.18604651162790697,-0.9882062072006068,0.6995765275257068,-0.7066997148719943,-0.1758015219702947,0.13156230025862853,0.7209302325581395,0.5348837209302325
binance,train,fee_only,30,30.0,43,-0.05671477050540679,0.0,0.18604651162790697,-0.9882062072006068,0.6995765275257068,-0.6936034751226751,-0.1758015219702947,0.11908675146488794,0.6744186046511628,0.5116279069767442
binance,train,fee_only,40,40.0,43,-0.13014726025065304,0.0,0.18604651162790697,-1.1359769310052579,0.6995765275257068,-0.6407601176652825,-0.1758015219702947,0.045654261719641646,0.5348837209302325,0.37209302325581395
binance,train,fee_only,50,50.0,43,-0.14891007620058425,0.0,0.23255813953488372,-1.142783019120843,0.6995765275257068,-0.6402108445658105,-0.1758015219702947,0.026891445769710445,0.4418604651162791,0.27906976744186046
binance,train,fee_only,60,60.0,43,-0.18193550410872517,-0.0839907192575316,0.23255813953488372,-1.142783019120843,0.6995765275257068,-0.6462835276492208,-0.1758015219702947,-0.006133982138430471,0.37209302325581395,0.23255813953488372
binance,train,fee_only,75,75.0,43,-0.18759369061688483,-0.1329983249581222,0.27906976744186046,-1.142783019120843,0.7034607473942509,-0.5978833305818501,-0.1758015219702947,-0.011792168646590129,0.3023255813953488,0.11627906976744186
binance,train,fee_only,100,100.0,43,-0.19103801303635864,-0.14382022471908212,0.27906976744186046,-1.142783019120843,0.7034607473942509,-0.5812249058950175,-0.1758015219702947,-0.015236491066063925,0.23255813953488372,0.09302325581395349
binance,validation,empirical_exec,10,33.1663,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,15,33.1663,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,20,33.1663,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,25,33.1663,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,30,33.1663,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,40,40.0,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,50,50.0,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
binance,validation,empirical_exec,60,60.0,5,-0.30580529750767327,-0.4322666217303885,0.2,-0.49447253774534095,0.13098722787429934,-0.4491115355558475,-0.30580529750767327,0.0,0.2,0.0
