exchange,kind,cost_model,sec,n,mean,median,win_rate,p05,p95,loss_mean
binance,BUY,fee_only,180,48,-0.15426259313942134,-0.21653986106516793,0.25,-0.838730291946794,0.8979670522257206,-0.42349143612062173
binance,BUY,fee_only,300,48,-0.17727336904066152,-0.2,0.2708333333333333,-1.000580611344314,0.7480643484777105,-0.446928740377969
binance,BUY,fee_only,460,48,-0.11268134281582638,-0.2,0.375,-1.0904584407820948,1.504994082088198,-0.5509921502846759
binance,BUY,fee_only,600,48,-0.1756286860887716,-0.2,0.3333333333333333,-1.1225614860988462,0.8241627648972338,-0.5450394699348275
binance,BUY,fee_only,900,48,-0.36813629770799433,-0.39977451785731516,0.3125,-1.8608523537168855,0.4394609712687492,-0.7255584730524631
binance,BUY,fee_only,1200,48,-0.3262177540415017,-0.2800004608026539,0.3958333333333333,-2.2271049034916057,0.9876871196901451,-0.933185037852742
binance,BUY,fee_only,1800,48,-0.05994721783747522,-0.11501519560586076,0.3958333333333333,-1.9318851481521018,1.6652824697789905,-0.8960065836196158
binance,BUY,empirical_exec,180,48,-0.2859255931394214,-0.3482028610651679,0.1875,-0.9703932919467941,0.7663040522257205,-0.5169930722704902
binance,BUY,empirical_exec,300,48,-0.3089363690406615,-0.331663,0.1875,-1.1322436113443142,0.6164013484777104,-0.5275563357800631
binance,BUY,empirical_exec,460,48,-0.24434434281582632,-0.331663,0.22916666666666666,-1.2221214407820948,1.3733310820881979,-0.5738107873062067
binance,BUY,empirical_exec,600,48,-0.3072916860887716,-0.331663,0.25,-1.2542244860988463,0.6924997648972337,-0.6082924771224945
binance,BUY,empirical_exec,900,48,-0.4997992977079943,-0.5314375178573152,0.20833333333333334,-1.9925153537168856,0.30779797126874925,-0.7536227872484581
binance,BUY,empirical_exec,1200,48,-0.4578807540415016,-0.41166346080265387,0.25,-2.3587679034916054,0.856024119690145,-0.8708693996529733
binance,BUY,empirical_exec,1800,48,-0.1916102178374752,-0.24667819560586074,0.375,-2.0635481481521016,1.5336194697789904,-0.9964243118727887
binance,SINGLE_GATE_FAIL,fee_only,180,846,-0.1937034219415354,-0.2,0.29550827423167847,-1.1354392249450478,0.7522351691606035,-0.49207399424816806
binance,SINGLE_GATE_FAIL,fee_only,300,846,-0.1639521712697766,-0.2,0.3486997635933806,-1.3223225884414407,0.928153271374327,-0.5784011583115658
binance,SINGLE_GATE_FAIL,fee_only,460,846,-0.11597053046107011,-0.2,0.3605200945626478,-1.4428056763762573,1.3539549762043914,-0.6356132074428523
binance,SINGLE_GATE_FAIL,fee_only,600,846,-0.11685754051025746,-0.2,0.3888888888888889,-1.5411126826968293,1.5224240687927828,-0.7188103371857357
binance,SINGLE_GATE_FAIL,fee_only,900,845,-0.134441068902312,-0.2,0.4011834319526627,-2.113078059718234,1.7999100979541487,-0.865541417428138
binance,SINGLE_GATE_FAIL,fee_only,1200,845,-0.1299227711584455,-0.15578156091089462,0.4307692307692308,-2.3039377036505204,1.888025723472677,-0.9528973385289298
binance,SINGLE_GATE_FAIL,fee_only,1800,845,-0.11322087730684827,-0.09939637826961151,0.4556213017751479,-2.7062695924764824,2.5531349154842253,-1.1765753063446007
binance,SINGLE_GATE_FAIL,empirical_exec,180,846,-0.3253664219415353,-0.331663,0.20921985815602837,-1.2671022249450479,0.6205721691606034,-0.5629723489415693
binance,SINGLE_GATE_FAIL,empirical_exec,300,846,-0.2956151712697766,-0.331663,0.2777777777777778,-1.4539855884414408,0.7964902713743269,-0.6478574380005565
binance,SINGLE_GATE_FAIL,empirical_exec,460,846,-0.24763353046107012,-0.331663,0.2966903073286052,-1.5744686763762574,1.2222919762043913,-0.7043603967478451
binance,SINGLE_GATE_FAIL,empirical_exec,600,846,-0.24852054051025743,-0.331663,0.32387706855791965,-1.6727756826968294,1.3907610687927827,-0.7761755627604434
binance,SINGLE_GATE_FAIL,empirical_exec,900,845,-0.266104068902312,-0.331663,0.35502958579881655,-2.244741059718234,1.6682470979541486,-0.931036668888739
binance,SINGLE_GATE_FAIL,empirical_exec,1200,845,-0.26158577115844545,-0.2874445609108946,0.3834319526627219,-2.43560070365052,1.7563627234726769,-1.0068063013005384
binance,SINGLE_GATE_FAIL,empirical_exec,1800,845,-0.24488387730684824,-0.23105937826961148,0.40828402366863903,-2.837932592476482,2.4214719154842257,-1.208946339401514
binance_futures,BUY,fee_only,180,45,-0.20710580281108323,-0.5685109845403045,0.35555555555555557,-2.054338532249606,3.1637786404552393,-1.2133512806435225
binance_futures,BUY,fee_only,300,45,-0.22078989937045387,-0.30000000000000004,0.35555555555555557,-2.769158381272225,2.7900728366166234,-1.1881343646248865
binance_futures,BUY,fee_only,460,45,-0.06541932613322526,-0.30000000000000004,0.4,-3.146231381115927,4.996588704491578,-1.4032207522244604
binance_futures,BUY,fee_only,600,45,-0.2949920561328647,-0.5280265339966947,0.37777777777777777,-2.923061661069148,3.0614410408002874,-1.5217134775123156
binance_futures,BUY,fee_only,900,45,-0.828289328737051,-1.0259820924417569,0.3333333333333333,-5.004950818082716,1.6490805038072915,-1.9802775281016591
binance_futures,BUY,fee_only,1200,45,-0.6518546316089608,-0.4684446939921647,0.4222222222222222,-6.014906314383173,3.641834651497354,-2.602147395624217
binance_futures,BUY,fee_only,1800,45,0.13234712115442077,0.061620057859224336,0.5555555555555556,-5.3564236720756115,4.908108494031824,-3.1930369191209205
binance_futures,BUY,empirical_exec,180,45,-0.43403480281108325,-0.7954399845403044,0.28888888888888886,-2.2812675322496063,2.9368496404552396,-1.3249826043730848
binance_futures,BUY,empirical_exec,300,45,-0.4477188993704538,-0.526929,0.3111111111111111,-2.996087381272225,2.5631438366166233,-1.3343098186507247
binance_futures,BUY,empirical_exec,460,45,-0.2923483261332252,-0.526929,0.28888888888888886,-3.3731603811159268,4.769659704491579,-1.39196058655288
binance_futures,BUY,empirical_exec,600,45,-0.5219210561328645,-0.7549555339966947,0.28888888888888886,-3.149990661069148,2.8345120408002877,-1.537719902812663
binance_futures,BUY,empirical_exec,900,45,-1.0552183287370513,-1.252911092441757,0.26666666666666666,-5.2318798180827155,1.4221515038072914,-2.0157427407983795
binance_futures,BUY,empirical_exec,1200,45,-0.8787836316089609,-0.6953736939921646,0.35555555555555557,-6.241835314383172,3.4149056514973544,-2.5522442681114255
binance_futures,BUY,empirical_exec,1800,45,-0.09458187884557905,-0.16530894214077563,0.4,-5.583352672075611,4.6811794940318245,-2.568465384214218
binance_futures,SINGLE_GATE_FAIL,fee_only,180,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,fee_only,300,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,fee_only,460,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,fee_only,600,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,fee_only,900,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,fee_only,1200,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,fee_only,1800,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,180,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,300,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,460,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,600,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,900,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,1200,0,,,,,,
binance_futures,SINGLE_GATE_FAIL,empirical_exec,1800,0,,,,,,
