split,cost_model,ratio,tail,total_n,latched_n,n,mean,median,win_rate,p05,p95,loss_mean,recovered_positive_share,hard_stop_share,late_exit_share
train,empirical_exec,0.2,none,42,30,30,-0.8846521406339853,-0.6120112461713141,0.36666666666666664,-3.130153265215856,0.7513714615592737,-1.6280095364311813,0.36666666666666664,0.0,0.5666666666666667
train,empirical_exec,0.25,none,42,30,30,-0.8846521406339853,-0.6120112461713141,0.36666666666666664,-3.130153265215856,0.7513714615592737,-1.6280095364311813,0.36666666666666664,0.0,0.5666666666666667
train,empirical_exec,0.33,1200,42,30,30,-0.8663545238041809,-0.6120112461713141,0.36666666666666664,-2.712394775337315,0.7513714615592737,-1.5991185624893847,0.36666666666666664,0.0,0.5333333333333333
train,empirical_exec,0.33,1800,42,30,30,-0.8902701695968669,-0.6120112461713141,0.36666666666666664,-3.0901631796134765,0.7513714615592737,-1.6368801084778364,0.36666666666666664,0.0,0.5333333333333333
train,empirical_exec,0.33,600,42,30,30,-0.8252843279892846,-0.6120112461713141,0.36666666666666664,-3.5846686741189537,0.7513714615592737,-1.5342708848869169,0.36666666666666664,0.0,0.5333333333333333
train,empirical_exec,0.33,900,42,30,30,-0.7454992914579246,-0.6120112461713141,0.36666666666666664,-2.611374726687088,0.7513714615592737,-1.4082945114163485,0.36666666666666664,0.0,0.5333333333333333
train,empirical_exec,0.33,none,42,30,30,-0.8902701695968669,-0.6120112461713141,0.36666666666666664,-3.0901631796134765,0.7513714615592737,-1.6368801084778364,0.36666666666666664,0.0,0.5333333333333333
train,empirical_exec,0.4,none,42,30,30,-1.0109177311207644,-0.526929,0.4,-6.096947217077025,0.8214976887682883,-1.9619577523410814,0.4,0.0,0.4666666666666667
train,empirical_exec,0.5,none,42,30,30,-1.007565401251505,-0.526929,0.4,-6.096947217077025,0.8214976887682883,-1.9563705358923156,0.4,0.0,0.4666666666666667
train,empirical_exec,0.67,none,42,30,30,-0.9786056375860616,-0.4750498208438887,0.4,-6.096947217077025,0.8214976887682883,-1.9081042631165757,0.4,0.0,0.43333333333333335
train,fee_only,0.2,none,42,27,27,-0.7728625815332042,-0.49880715705762335,0.4074074074074074,-3.0011838091782037,0.5907844198101952,-1.637232186642441,0.4074074074074074,0.0,0.5185185185185185
train,fee_only,0.25,none,42,27,27,-0.7728625815332042,-0.49880715705762335,0.4074074074074074,-3.0011838091782037,0.5907844198101952,-1.637232186642441,0.4074074074074074,0.0,0.5185185185185185
train,fee_only,0.33,1200,42,27,27,-0.7525318961667549,-0.49880715705762335,0.4074074074074074,-2.48957791615894,0.5907844198101952,-1.6029241550865578,0.4074074074074074,0.0,0.48148148148148145
train,fee_only,0.33,1800,42,27,27,-0.7791048359364058,-0.49880715705762335,0.4074074074074074,-2.974523752109951,0.5907844198101952,-1.6477659909478442,0.4074074074074074,0.0,0.48148148148148145
train,fee_only,0.33,600,42,27,27,-0.7068983452613146,-0.49880715705762335,0.4074074074074074,-3.6038943814805586,0.5907844198101952,-1.5259175379336274,0.4074074074074074,0.0,0.48148148148148145
train,fee_only,0.33,900,42,27,27,-0.6182483046709143,-0.49880715705762335,0.4074074074074074,-2.408021289055749,0.5907844198101952,-1.3763205944373271,0.4074074074074074,0.0,0.48148148148148145
train,fee_only,0.33,none,42,27,27,-0.7791048359364058,-0.49880715705762335,0.4074074074074074,-2.974523752109951,0.5907844198101952,-1.6477659909478442,0.4074074074074074,0.0,0.48148148148148145
train,fee_only,0.4,none,42,27,27,-0.91315768207407,-0.47016449234262825,0.4444444444444444,-6.598995122524516,0.7752688172042979,-2.053713489081739,0.4444444444444444,0.0,0.4074074074074074
train,fee_only,0.5,none,42,27,27,-0.9094328711082262,-0.47016449234262825,0.4444444444444444,-6.598995122524516,0.7752688172042979,-2.0470088293432194,0.4444444444444444,0.0,0.4074074074074074
train,fee_only,0.67,none,42,27,27,-0.8772553559244,-0.19624164168777744,0.4444444444444444,-6.598995122524516,0.7752688172042979,-1.9890893020123321,0.4444444444444444,0.0,0.37037037037037035
validation,empirical_exec,0.2,none,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.25,none,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.33,1200,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.33,1800,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
validation,empirical_exec,0.33,600,3,2,2,-1.1451903535780479,-1.1451903535780479,0.0,-1.4044651051463175,-0.8859156020097781,-1.1451903535780479,0.0,0.0,1.0
