market,ret24_pct,last_price,quote_volume_24h
TACUSDT,-36.572,0.001632,48507954
MAGMAUSDT,-25.346,0.23825,67132401
SQDUSDT,-24.447,0.03041,20995942
BEATUSDT,-20.382,0.1418,101832345
BTWUSDT,-14.548,0.44447,86753200
GRVTUSDT,-13.416,0.2291,16448677
NILUSDT,-13.405,0.04354,7536881
INXUSDT,-13.183,0.006941,6973728
BSBUSDT,-12.78,0.10155,13600279
HANAUSDT,-12.036,0.01776,2679045
STARUSDT,-11.881,0.12163,3897835
DEEPUSDT,-11.59,0.01312,4641287
FHEUSDT,-11.57,0.02056,4923769
KOMAUSDT,-11.543,0.012231,6310917
PTBUSDT,-11.403,0.0007552,4878199
POLUSDT,-10.214,0.10681,121768167
FARTCOINUSDT,-10.062,0.1734,127791043
BIRBUSDT,-10.018,0.05542,2017349
BMTUSDT,-9.752,0.01527,5366652
CARVUSDT,-9.725,0.03184,1745221
CLANKERUSDT,-9.704,13.12,1368053
AIAUSDT,-9.644,0.07186,3526345
APRUSDT,-9.581,0.1963,7108197
ONGUSDT,-9.537,0.07,68584829
RIVERUSDT,-9.522,2.309,15070094
MOVEUSDT,-9.474,0.00794,49354538
MUBARAKUSDT,-9.42,0.02375,29116411
RVNUSDT,-9.387,0.003253,3776728
EDENUSDT,-9.383,0.04771,7053652
SPACEUSDT,-8.94,0.004889,2214558
ICNTUSDT,-8.812,0.1128,1542370
JTOUSDT,-8.786,0.572,18517843
AIOTUSDT,-8.532,0.03913,1126529
LAUSDT,-8.497,0.05503,7631981
BUSDT,-8.49,0.1412,2294447
PIXELUSDT,-8.427,0.004944,2739533
C98USDT,-8.424,0.01522,1497174
PROVEUSDT,-8.36,0.1688,3586400
BROCCOLI714USDT,-8.256,0.01789,6223410
NOMUSDT,-8.188,0.001637,3526042
LABUSDT,-8.169,0.07251,25156644
MYXUSDT,-7.889,0.07356,4282943
XPINUSDT,-7.84,0.001058,4328833
EULUSDT,-7.836,1.2621,15250956
BEAMXUSDT,-7.82,0.001497,1272584
